Geo_Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.532890102323265, 2.290082513840396;"{""coordinates"": [2.290082513840396, 48.532890102323265], ""type"": ""Point""}";101;Bouray;Bouray;;;59830;Bouray;47905;Bouray;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1;0;647587.8337;6826086.019;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Bouray
48.78031379547602, 2.312307716888594;"{""coordinates"": [2.312307716888594, 48.78031379547602], ""type"": ""Point""}";102;Bourg-la-Reine;Bourg-la-Reine;;;70033;Bourg-la-Reine;43097;Bourg-la-Reine;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;RATP;1;0;649468.2085;6853577.977;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bourg-la-Reine
48.43449061194127, 2.376672818506991;"{""coordinates"": [2.376672818506991, 48.43449061194127], ""type"": ""Point""}";106;Boutigny;Boutigny;;;59565;Boutigny;47895;Boutigny;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1;0;653894.1827;6815094.288;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Boutigny
48.75102327419874, 2.21586085735165;"{""coordinates"": [2.21586085735165, 48.75102327419874], ""type"": ""Point""}";73;Bièvres;Bièvres;;;63404;Bièvres;43091;Bièvres;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1;0;642349.1489;6850387.489;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Bièvres
48.79889249915973, 2.328136923064751;"{""coordinates"": [2.328136923064751, 48.79889249915973], ""type"": ""Point""}";22;Arcueil-Cachan;Arcueil-Cachan;;;70263;Arcueil - Cachan;43067;Arcueil - Cachan;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;RATP;1;0;650648.8903;6855633.625;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Arcueil-Cachan
48.58600788987864, 2.2410700809029738;"{""coordinates"": [2.241070080902974, 48.58600788987864], ""type"": ""Point""}";26;Arpajon;Arpajon;;;60072;Arpajon;43068;Arpajon;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1;0;644026.1786;6832024.337;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Arpajon
48.93219600504133, 2.495513142584314;"{""coordinates"": [2.495513142584314, 48.93219600504133], ""type"": ""Point""}";37;Aulnay-sous-Bois;Aulnay-sous-Bois;;;72646;Aulnay-sous-Bois;43071;Aulnay-sous-Bois;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01857;C01743;RER B;B;RER B;SNCF;1;1;663037.8693;6870364.551;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aulnay-sous-Bois
49.0704623625224, 2.1753042099461597;"{""coordinates"": [2.17530420994616, 49.0704623625224], ""type"": ""Point""}";39;Auvers-sur-Oise;Auvers-sur-Oise;;;67027;Auvers-sur-Oise;47918;Auvers-sur-Oise;0;TRAIN;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1;0;639738.4698;6885937.758;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Auvers-sur-Oise
48.88268104574893, 2.854315926463896;"{""coordinates"": [2.854315926463896, 48.88268104574893], ""type"": ""Point""}";215;Couilly-Saint-Germain-Quincy;Couilly-Saint-Germain-Quincy;;;68505;Couilly - Saint-Germain - Quincy;47327;Couilly - Saint-Germain - Quincy;0;TRAIN;1;1;0;0;0;0;0;0;0;0;0;0;0;0;A01844;C01730;TRAIN P;P;TRAIN P;SNCF;1;0;689315.971;6864750.261;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3216a7aca01ab7c67110982329e4a82e;Couilly-Saint-Germain-Quincy
48.53373283305578, 2.0087718138734374;"{""coordinates"": [2.008771813873437, 48.53373283305578], ""type"": ""Point""}";240;Dourdan;Dourdan;;;59836;Dourdan;43121;Dourdan;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1;0;626821.1896;6826403.41;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Dourdan
